title,artist,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Hide Away,Daya,2024-05-25,0.884,0.826,11,-3.672,0,0.0853,0.222,2.29e-06,0.0651,0.465,94.997,spotify:track:7fPyCCiXVwbzPQ1MtoUChl
BK Back,Baby Kia,2024-05-25,0.595,0.417,0,-12.07,1,0.837,0.108,0.0,0.308,0.183,83.9,spotify:track:7cUbIDxRx7wfkI56hdL01D
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,2024-05-25,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,spotify:track:5rb9QrpfcKFHM1EUbSIurX
Close,Cayo Featuring soser,2024-05-25,0.665,0.437,3,-10.602,0,0.259,0.00401,0.0,0.0726,0.66,130.17,spotify:track:3KjRNFs97uhUD2ssfU1coJ
Tengo Un Plan,Key-Key,2024-05-25,0.798,0.59,8,-9.46,1,0.175,0.12,0.0,0.12,0.533,101.983,spotify:track:3r9OpHiEaeMaBOa7kVtWtC
Anything,Adrianne Lenker,2024-05-25,0.388,0.291,3,-12.952,1,0.0421,0.774,1.93e-05,0.0874,0.51,83.943,spotify:track:4PwWESSlTwzvw9B7bmtTLS
Scars,Novulent,2024-05-25,0.339,0.842,9,-4.65,1,0.048,0.00317,1.4e-05,0.107,0.144,83.942,spotify:track:016z46SJwcRosW9Xb8JKmF
I Bet On Losing Dogs,Mitski,2024-05-25,0.398,0.493,9,-9.561,1,0.0303,0.00347,0.000157,0.106,0.412,82.048,spotify:track:2Co0IjcLTSHMtodwD4gzfg
Wind Up Missin' You,Tucker Wetmore,2024-05-25,0.572,0.722,6,-5.818,1,0.0363,0.512,1.12e-06,0.124,0.636,171.857,spotify:track:7iQMm50NNwlUIRWhONZR2k
End Of Beginning,Djo,2024-05-25,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,spotify:track:3qhlB30KknSejmIvZZLjOD
Dance You Outta My Head,Cat Janice,2024-05-25,0.751,0.712,2,-7.181,0,0.0548,0.0608,0.0,0.1,0.598,115.966,spotify:track:6NMqeF0Ssmi7d3dSUqnOFf
The Chicken In Black,Johnny Cash,2024-05-25,0.762,0.508,9,-11.94,1,0.239,0.708,0.0,0.134,0.753,94.616,spotify:track:6rb2YiWI5xJCPs1XfFz3Xz
Dirt Cheap,Cody Johnson,2024-05-25,0.62,0.507,1,-5.891,1,0.0307,0.111,0.0,0.101,0.266,120.065,spotify:track:48X5k2vce5rXckgDAnXMsa
Come And Get Your Love,Redbone,2024-05-25,0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,spotify:track:7GVUmCP00eSsqc4tzj1sDD
Pretty Brown,Shaun Wiah,2024-05-25,0.593,0.609,6,-7.979,1,0.133,0.0372,0.0,0.199,0.64,157.044,spotify:track:46SKw9yXle3OQeD2jVfMvn
Beautiful Things,Benson Boone,2024-05-25,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,spotify:track:6tNQ70jh4OwmPGpYy6R2o9
